,accuracy,f1,roc_auc
DummyClassifier,0.7375,0.0,0.5
LogisticRegression,0.8119444444444445,0.5606748864373783,0.7976922846979344
DecisionTree,0.8383333333333334,0.6576470588235294,0.8371031995137457
RandomForest,0.8911111111111111,0.7565217391304347,0.9274823384051256
GradientBoosting,0.9005555555555556,0.7947247706422018,0.9270845664066003
